"","X278.1","X278.2","X278.3","X278.4","X278.5","X279.1","X279.2","X279.3","X279.4","X279.5","genenames"
"10Sa",20.2998274119325,18.0320581629801,17.8003990716702,16.8568888553274,17.9655789441129,18.7954792677364,17.7639676458799,17.0698422085192,16.1936713556322,19.2364092248397,"thrL"
"rnpB",18.4056016919315,16.9065413233675,17.4855395773041,15.4509011112794,16.4480704557814,17.4962644174776,16.2529237135549,15.4558852463784,14.8239250098217,18.2285213582172,"thrA"
"csrB",15.4352166610255,16.6975282388648,15.864613267265,15.2770447913212,16.1165249051003,16.7978824975557,16.108443256956,15.2369819999089,14.8223936016401,17.6961302984348,"thrB"
"STM1377",14.9378569497772,14.306737405445,14.5651301146982,14.1760715803272,14.491048035547,14.6282305330376,14.8427258977981,14.1129487368836,14.2529303820202,14.6138009817048,"thrC"
"rrlD",17.0585803622054,12.5291618483289,13.5346664376387,11.5597933028574,12.514374071508,13.0001863427886,10.527253485581,11.48311848826,10.1413949135462,14.1197563299529,"yaaA"
"rrlG",17.1878644682852,12.2546815181993,13.0183276982861,11.6063207175313,12.5689022078558,12.4713706052989,10.3386171260741,11.4504179213576,10.2617078959953,13.1990263215218,"yaaJ"
"STM4326",13.6815219878194,13.5941543104864,13.6861769029194,13.3043916135597,13.5439068316031,13.3651790216828,13.8749116101686,13.6822634749179,14.2195333666458,12.7557205894011,"talB"
"STM0629",14.9053019235107,13.3535688897936,12.1807790037832,12.6131882434066,13.514733964749,13.6982966044681,13.6595019714912,12.7932669855059,12.9724032494798,13.8618364033082,"mog"
"STM1572",13.595199096513,13.1594517925852,13.9218548738699,13.5194170285378,13.2433908090152,13.3667763786292,13.3170076370817,13.5080885927575,14.3338304461241,12.5736500919798,"yaaH"
"rrsG",16.480154545612,11.3145116846865,11.8383797553279,10.6404070818337,11.5131704609935,11.2430956672621,9.44080201530265,10.433139663998,9.91782917087242,11.7522934872953,"htgA"
"rrsD",16.3979355588394,11.3814574647713,12.0248191246771,10.6319223833278,11.5958738659019,11.3482731142406,9.39983462801602,10.4540056378717,9.82205140850703,11.9198240816321,"yaaI"
"STM1959",13.5205153655831,13.0367255414739,13.8394574925325,12.6619259501578,12.2499386063159,12.2095203903239,12.8752152169216,11.3430689778121,11.3907701856142,11.9763932888201,"dnaK"
"STM1251",13.264222014648,11.5570815017784,10.573147999893,11.8225350311572,12.1257532101087,13.6571155330375,12.7535773583125,12.0119443777309,10.8984199228137,12.7802067483723,"dnaJ"
"rrsH",15.4021406059508,9.53266916126255,10.0511001229307,9.25121675782406,10.0830785718877,9.52531163007136,7.80758221783173,9.02707866628946,8.34812431146242,9.49534930073415,NA
"STM1070",12.2978810592144,11.9102298308473,12.0800784601027,12.5131191150695,12.2522585088431,12.3018316418421,12.5528853485755,12.2664262055055,12.2693247804194,11.7825522446319,NA
"rrlA",14.6656007124274,10.708494829782,11.887001470621,9.13593681440812,10.2197500937564,11.3985454943924,8.5944648870799,9.60006749874976,7.86394390563778,12.6880628322316,NA
"rrlH",14.5305579135282,10.4008431221708,11.6633438831788,9.01437419495242,10.0699871199845,11.1251887138595,8.39889191224691,9.26781998716956,7.62106230023059,12.5587408414008,NA
"STM4002",11.5220994829997,11.7908557943365,11.2365749991267,11.7787357744577,11.7831989438884,12.3066816110363,12.1642715845891,11.6717473807389,11.6355304299373,12.4221767687899,NA
"rrlB",14.4855614553031,10.2796131424098,11.5601429316061,9.06567570015536,10.0081874480498,10.9956552190854,8.1815664691231,9.17405171028909,7.5903832161646,12.3752001156216,NA
"STM0708",12.731887538514,11.3280480339075,9.39059447229258,11.3137513417113,11.2120118730304,12.2164631271892,12.5604781458003,11.9351478837942,9.51646209552635,12.3460689603344,NA
"STM2665",12.5030943521269,12.0414869171572,11.4186838349042,11.2051882758383,11.3537876218697,12.18058503316,11.7577697248717,10.3547626139487,11.2711722003067,12.1338975276169,"bcfA"
"rrlC",14.1547403181928,10.2720911577735,11.7101348977544,8.73086330980697,9.57612987530627,11.0915100359871,8.16717134441957,9.08172963515094,7.24127945779397,12.5666288089303,"bcfB"
"STM0853",12.3716780082088,11.8994597258937,10.1606251092465,10.3256362836834,11.2000442994114,12.6115972309447,12.0762478611487,10.5732351160092,9.10828161430753,12.6206690382499,"bcfC"
"STM1334",10.8540100150494,11.341971863676,12.1119933274326,11.5857571559229,11.6131245612272,11.4802363452856,11.588834661901,11.760348057282,11.9774601701387,11.5890487717616,"bcfD"
"STM2660",11.0488090452821,11.1594880174073,11.2291438942526,11.5031010866065,11.3699011622863,12.1999396091738,11.9293820791677,10.8976559653783,12.2080346802319,11.3082257471788,"bcfE"
"rrlE",14.0571873165922,10.0170251527856,11.3918962086696,8.46759994028342,9.63064483641734,10.8253022722888,7.82831507746479,8.78263093075299,6.93435223012837,12.3504041665385,"bcfF"
"STM4330",10.9534937238896,11.1934477706208,12.3300037026093,11.5508194875806,10.5807333037507,11.9227224389191,11.3627465895422,11.4349520708766,11.4855142468344,10.9363077754376,"bcfG"
"STM3281",11.2578663242581,11.7195653742179,10.7135640502286,11.3504146059642,11.7943857157892,11.4044960670293,11.8129913503966,11.3991370944713,11.3127092064708,11.4833606289898,"bcfH"
"STM1290",10.8642728224315,11.0156854895363,11.7644802344563,11.8262584632862,11.0534402714564,11.6306855428297,11.2687522724433,11.5815674599091,12.0241190880088,10.9866874501171,NA
"STM3446",10.1261182943726,10.8886377513165,12.3310887962757,11.7721324046759,10.8707398447204,11.335871348496,10.7155429192174,11.5624789597675,12.2042405797099,11.0472845506942,NA
